N,Должность,Язык.программирования,Специализация,Общий.опыт.работы,Опыт.работы.на.текущем.месте,Зарплата.в.месяц,Изменение.зарплаты.за.12.месяцев,Город,Размер.компании,Тип.компании,Пол,Возраст,Образование,Университет,Еще.студент,Уровень.английского,Предметная.область,Дата.заполнения,User.Agent,exp,current_job_exp,salary,Валюта,cls,avg
88,Junior Software Engineer,Python,,0.5,0.5,600,0,Киев,до 10 человек,Аутсорсинговая,мужской,19,Незаконченное высшее,НТУУ «КПИ»,True,выше среднего,"Веб-разработка,eCommerce",12/06/2017 13:12:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.5,600,,DEV,605.65859375
92,Junior Software Engineer,C#/.NET,,1,1,1000,400,Киев,свыше 1000 человек,Аутсорсинговая,мужской,33,Высшее,ЗНТУ,False,продвинутый,Веб-разработка,12/06/2017 13:12:37,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,1000,,DEV,605.65859375
96,Junior Software Engineer,JavaScript,,0.5,0.5,640,0,Киев,до 50 человек,Аутсорсинговая,мужской,29,Высшее,НТУ «ХПИ»,False,выше среднего,"Веб-разработка,Корпоративные системы",12/06/2017 13:12:53,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",0.5,0.5,640,,DEV,605.65859375
101,Junior Software Engineer,C#/.NET,,1.5,1,1000,400,Харьков,до 200 человек,Аутсорсинговая,женский,21,Незаконченное высшее,НТУ «ХПИ»,True,выше среднего,"Desktop Applications,Веб-разработка",12/06/2017 13:13:19,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.0,1000,,DEV,605.65859375
115,Junior Software Engineer,Python,,1.5,0.5,685,250,Киев,до 1000 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,НТУУ «КПИ»,False,средний,Другое,12/06/2017 13:14:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1.5,0.5,685,,DEV,605.65859375
121,Junior Software Engineer,Java,,0.25,меньше 3 месяцев,500,0,Винница,до 50 человек,Аутсорсинговая,мужской,22,Незаконченное высшее,Другой вуз,False,продвинутый,Веб-разработка,12/06/2017 13:15:42,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.0,500,,DEV,605.65859375
134,Junior Software Engineer,C++,,0.5,0.5,750,0,Киев,до 200 человек,Другая,мужской,29,Высшее,ВНУ им. Даля,False,продвинутый,"Системное программирование,Корпоративные системы",12/06/2017 13:17:40,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,750,,DEV,605.65859375
144,Junior Software Engineer,Python,,1,1,750,250,Киев,до 10 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,НТУУ «КПИ»,True,выше среднего,Веб-разработка,12/06/2017 13:19:10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,750,,DEV,605.65859375
152,Junior Software Engineer,JavaScript,,1.5,0.5,400,200,Киев,до 200 человек,Продуктовая,мужской,27,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,12/06/2017 13:20:02,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0.5,400,,DEV,605.65859375
158,Junior Software Engineer,Java,,0.25,0.25,700,0,Киев,до 50 человек,Аутсорсинговая,мужской,21,Техникум / Колледж,,False,выше среднего,Веб-разработка,12/06/2017 13:20:24,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",0.25,0.25,700,,DEV,605.65859375
163,Junior Software Engineer,Python,,0.5,0.5,500,0,Винница,до 200 человек,Аутсорсинговая,мужской,20,Техникум / Колледж,,True,ниже среднего,Веб-разработка,12/06/2017 13:21:08,"Mozilla/5.0 (Linux; Android 7.1.2; LG-D802 Build/N2G47E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.5,0.5,500,,DEV,605.65859375
165,Junior Software Engineer,Java,,1,1,470,0,Киев,свыше 1000 человек,Аутсорсинговая,мужской,32,Высшее,НТУУ «КПИ»,False,выше среднего,"Веб-разработка,eCommerce",12/06/2017 13:21:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,470,,DEV,605.65859375
170,Junior Software Engineer,C#/.NET,,1,1,570,0,Киев,свыше 1000 человек,Аутсорсинговая,женский,29,Незаконченное высшее,КНУ им. Шевченко,False,средний,"Веб-разработка,Корпоративные системы",12/06/2017 13:22:11,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,1.0,1.0,570,,DEV,605.65859375
172,Junior Software Engineer,Python,,0.25,0.25,800,0,Киев,до 50 человек,Продуктовая,мужской,25,Высшее,НАУ,False,продвинутый,Телекоммуникации,12/06/2017 13:22:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.25,800,,DEV,605.65859375
181,Junior Software Engineer,Java,,1.5,1.5,600,100,Одесса,до 1000 человек,Продуктовая,мужской,23,Высшее,Другой вуз,True,средний,Телекоммуникации,12/06/2017 13:24:33,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",1.5,1.5,600,,DEV,605.65859375
197,Junior Software Engineer,PHP,,1,0.5,250,250,Киев,до 10 человек,Продуктовая,мужской,25,Высшее,КНУ им. Шевченко,False,продвинутый,Веб-разработка,12/06/2017 13:27:27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.5,250,,DEV,605.65859375
201,Junior Software Engineer,Java,,0.5,0.5,1150,400,Удаленно,до 10 человек,Продуктовая,мужской,21,Высшее,ДонНТУ,True,ниже среднего,"Веб-разработка,Корпоративные системы",12/06/2017 13:29:04,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.5,1150,,DEV,605.65859375
222,Junior Software Engineer,Java,,1,1,500,150,Львов,до 1000 человек,Аутсорсинговая,мужской,20,Незаконченное высшее,Львовская Политехника,True,средний,"Веб-разработка,Корпоративные системы",12/06/2017 13:33:33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,500,,DEV,605.65859375
223,Junior Software Engineer,JavaScript,,1,0.25,800,500,Киев,до 10 человек,Стартап,мужской,22,Высшее,НТУУ «КПИ»,False,средний,Desktop Applications,12/06/2017 13:34:03,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.0,0.25,800,,DEV,605.65859375
250,Junior Software Engineer,Swift,,0.5,0.5,225,125,Харьков,до 50 человек,Аутсорсинговая,мужской,23,Высшее,ХНУРЭ,False,средний,iOS,12/06/2017 13:38:12,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,225,,DEV,605.65859375
271,Junior Software Engineer,JavaScript,,1,1,270,110,Херсон,до 10 человек,Продуктовая,мужской,22,Незаконченное высшее,Другой вуз,True,ниже среднего,Веб-разработка,12/06/2017 13:42:11,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.0,1.0,270,,DEV,605.65859375
272,Junior Software Engineer,Ruby/Rails,,2,меньше 3 месяцев,700,200,Львов,до 50 человек,Аутстаффинговая,мужской,22,Незаконченное высшее,НУК,True,средний,Веб-разработка,12/06/2017 13:42:20,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",2.0,0.0,700,,DEV,605.65859375
284,Junior Software Engineer,Python,,1,меньше 3 месяцев,400,400,Харьков,до 10 человек,Стартап,мужской,23,Незаконченное высшее,ХНУРЭ,False,средний,Веб-разработка,12/06/2017 13:43:33,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,400,,DEV,605.65859375
290,Junior Software Engineer,Ruby/Rails,,1,0.25,950,450,Харьков,до 200 человек,Аутсорсинговая,мужской,33,Высшее,ДонНУ,False,средний,Веб-разработка,12/06/2017 13:44:08,Mozilla/5.0 (X11; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0,1.0,0.25,950,,DEV,605.65859375
296,Junior Software Engineer,JavaScript,,1.5,1,500,20,Киев,до 10 человек,Продуктовая,женский,30,Высшее,НАУ,False,выше среднего,"Веб-разработка,Финансы и банки",12/06/2017 13:44:58,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.0,500,,DEV,605.65859375
297,Junior Software Engineer,JavaScript,,0.5,0.5,306,70,Киев,до 10 человек,Продуктовая,мужской,22,Высшее,КНУСА,False,ниже среднего,"Веб-разработка,Gamedev",12/06/2017 13:45:10,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.5,306,,DEV,605.65859375
302,Junior Software Engineer,C#/.NET,,меньше 3 месяцев,меньше 3 месяцев,400,0,Киев,до 10 человек,Аутсорсинговая,мужской,21,Высшее,НАУ,False,средний,Веб-разработка,12/06/2017 13:46:15,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2 like Mac OS X) AppleWebKit/602.3.12 (KHTML, like Gecko) Version/10.0 Mobile/14C92 Safari/602.1",0.0,0.0,400,,DEV,605.65859375
305,Junior Software Engineer,Java,,меньше 3 месяцев,1,700,100,Львов,свыше 1000 человек,Аутсорсинговая,мужской,25,Высшее,ЛНУ им. Франко,False,средний,Веб-разработка,12/06/2017 13:46:28,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.0,1.0,700,,DEV,605.65859375
308,Junior Software Engineer,Java,,1.5,0.5,800,500,Киев,до 10 человек,Аутсорсинговая,женский,26,Высшее,НТУУ «КПИ»,False,выше среднего,"Android,Другое",12/06/2017 13:46:38,"Mozilla/5.0 (Linux; Android 6.0.1; MI 5s Build/MXB48T; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",1.5,0.5,800,,DEV,605.65859375
333,Junior Software Engineer,Python,,1,1,600,300,Львов,до 50 человек,Аутсорсинговая,мужской,19,Незаконченное высшее,Львовская Политехника,True,ниже среднего,Веб-разработка,12/06/2017 13:51:25,Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,1.0,1.0,600,,DEV,605.65859375
348,Junior Software Engineer,Python,,меньше 3 месяцев,меньше 3 месяцев,200,0,Киев,до 10 человек,Аутсорсинговая,мужской,22,Незаконченное высшее,КНУСА,True,ниже среднего,Веб-разработка,12/06/2017 13:53:40,"Mozilla/5.0 (Linux; Android 5.1.1; Mi-4c Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.0,0.0,200,,DEV,605.65859375
357,Junior Software Engineer,Java,,1,1,490,190,Львов,до 1000 человек,Аутсорсинговая,мужской,31,Высшее,Другой вуз,False,средний,"Веб-разработка,Финансы и банки",12/06/2017 13:54:39,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,490,,DEV,605.65859375
361,Junior Software Engineer,PHP,,1.5,1.5,500,100,Киев,до 10 человек,Продуктовая,мужской,23,Незаконченное высшее,КНУ им. Шевченко,True,выше среднего,"Веб-разработка,eCommerce",12/06/2017 13:55:42,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1.5,1.5,500,,DEV,605.65859375
372,Junior Software Engineer,JavaScript,,0.5,0.5,500,0,Харьков,до 1000 человек,Аутсорсинговая,женский,27,Высшее,ХНЭУ,False,выше среднего,Веб-разработка,12/06/2017 13:57:33,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,500,,DEV,605.65859375
386,Junior Software Engineer,JavaScript,,0.5,0.5,377,377,Харьков,до 50 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,ХНЭУ,True,продвинутый,Веб-разработка,12/06/2017 14:00:51,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,377,,DEV,605.65859375
394,Junior Software Engineer,PHP,,2,0.25,400,150,Днепр,до 50 человек,Аутстаффинговая,мужской,20,Незаконченное высшее,НметАУ,True,выше среднего,"Веб-разработка,eCommerce",12/06/2017 14:02:53,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,0.25,400,,DEV,605.65859375
397,Junior Software Engineer,PHP,,0.5,0.25,1000,850,Киев,до 1000 человек,Аутстаффинговая,мужской,22,Незаконченное высшее,КНЭУ,True,выше среднего,Веб-разработка,12/06/2017 14:03:07,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/95.0.0.54.70;FBBV/59901094;FBDV/iPhone6,1;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/2;FBCR/Carrier;FBID/phone;FBLC/en_US;FBOP/5;FBRV/0]",0.5,0.25,1000,,DEV,605.65859375
413,Junior Software Engineer,Java,,0.5,0.5,600,0,Днепр,до 50 человек,Аутсорсинговая,мужской,25,Высшее,НГУ [Днепропетровск],False,средний,Android,12/06/2017 14:05:41,"Mozilla/5.0 (Linux; Android 7.1.1; ONEPLUS A3010 Build/NMF26F; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36 MxBrowser/4.5.10.7000",0.5,0.5,600,,DEV,605.65859375
420,Junior Software Engineer,JavaScript,,1,1,450,0,Удаленно,до 10 человек,Другая,мужской,31,Высшее,Другой вуз,False,средний,Веб-разработка,12/06/2017 14:07:14,"Mozilla/5.0 (Linux; Android 5.1; m2 Build/LMY47D) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/40.0.2214.124 Mobile Safari/537.36 [FB_IAB/FB4A;FBAV/127.0.0.22.69;]",1.0,1.0,450,,DEV,605.65859375
432,Junior Software Engineer,PHP,,2,2,303,0,Одесса,до 10 человек,Продуктовая,мужской,25,Среднее,,False,выше среднего,"Веб-разработка,Финансы и банки",12/06/2017 14:09:39,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,303,,DEV,605.65859375
445,Junior Software Engineer,C#/.NET,,1,1,415,150,Черновцы,до 200 человек,Другая,мужской,21,Высшее,Другой вуз,True,средний,"Веб-разработка,Другое",12/06/2017 14:12:25,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,415,,DEV,605.65859375
452,Junior Software Engineer,Java,,0.5,0.5,700,0,Киев,до 200 человек,Аутсорсинговая,мужской,30,Высшее,НТУУ «КПИ»,False,ниже среднего,Gamedev,12/06/2017 14:13:05,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,700,,DEV,605.65859375
463,Junior Software Engineer,PHP,,1,0.5,500,350,Днепр,до 10 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,ДНУ им. Гончара,True,выше среднего,"Веб-разработка,eCommerce",12/06/2017 14:17:03,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.133 Safari/537.36",1.0,0.5,500,,DEV,605.65859375
471,Junior Software Engineer,JavaScript,,0.25,0.25,300,0,Харьков,до 10 человек,Аутсорсинговая,мужской,23,Высшее,ХАИ,False,ниже среднего,Веб-разработка,12/06/2017 14:17:57,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",0.25,0.25,300,,DEV,605.65859375
479,Junior Software Engineer,Java,,0.25,0.25,400,0,Днепр,свыше 1000 человек,Продуктовая,мужской,21,Высшее,НметАУ,True,средний,Веб-разработка,12/06/2017 14:19:54,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",0.25,0.25,400,,DEV,605.65859375
489,Junior Software Engineer,C#/.NET,,2,0.5,620,100,Киев,до 10 человек,Другая,мужской,21,Незаконченное высшее,ГУТ,True,ниже среднего,"eCommerce,Корпоративные системы",12/06/2017 14:21:18,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.114 Safari/537.36 Vivaldi/1.9.818.50",2.0,0.5,620,,DEV,605.65859375
500,Junior Software Engineer,JavaScript,,0.25,0.25,450,0,Киев,до 200 человек,Другая,мужской,25,Высшее,Другой вуз,False,ниже среднего,Веб-разработка,12/06/2017 14:22:38,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.25,450,,DEV,605.65859375
502,Junior Software Engineer,Java,,1,1,320,0,Николаев,свыше 1000 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,ЧГУ им. Петра Могилы,True,средний,"Телекоммуникации,Корпоративные системы",12/06/2017 14:22:55,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,1.0,1.0,320,,DEV,605.65859375
519,Junior Software Engineer,C#/.NET,,1.5,1,900,200,Киев,до 50 человек,Аутсорсинговая,мужской,28,Высшее,Другой вуз,False,средний,Веб-разработка,12/06/2017 14:28:51,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",1.5,1.0,900,,DEV,605.65859375
